    10.995;    21.649
     6.695;     6.095
     8.820;    22.903
    14.229;    18.185
     5.415;     7.189
    11.699;    15.958
     9.034;    17.020
    13.578;    15.930
    14.394;    21.895
    11.442;    20.871
     8.923;    22.075
    10.672;    13.003
     5.898;    10.580
     7.585;    11.332
     4.097;     5.702
    16.280;    24.037
    15.105;    18.047
     8.069;    14.596
     9.923;    15.229
     6.338;     9.040
    11.205;    18.580
    16.099;    19.884
     5.439;    10.774
    17.572;    13.314
     7.732;    10.867
     7.655;    13.559
    10.607;    15.910
    11.539;    19.636
    14.586;    22.831
     9.187;    15.933
    14.088;    23.725
     7.009;    11.654
     7.514;    16.482
     9.510;    13.753
     1.415;     0.372
     8.025;    13.804
     7.128;    21.029
     9.872;    17.725
    15.182;    20.430
    12.748;    17.497
     7.545;    14.766
    14.330;    19.548
    10.777;    18.543
     5.773;     7.486
    11.378;    15.489
     9.395;    13.239
    12.510;    18.317
     8.670;    22.897
    10.133;    11.460
    13.982;    20.795
    10.010;    15.766
    14.054;    20.440
    10.660;    20.214
    11.679;    13.259
    12.793;    18.287
    11.184;     9.615
    11.771;    19.831
     8.304;    17.941
    10.186;    23.454
     7.942;    10.480
    15.133;    19.342
     9.927;    14.953
     6.627;    16.706
     6.181;     8.650
     9.243;    13.839
     9.232;    20.187
     6.418;     8.195
     6.513;     7.712
     8.831;    14.388
     6.791;     9.371
    10.228;    18.211
     7.935;    13.526
    13.598;    15.929
    12.866;    19.698
     5.349;    10.948
     8.854;    17.545
     9.950;    13.787
    11.800;     8.959
    10.434;    22.287
     8.810;    17.087
    10.886;    13.135
     9.073;     9.926
    10.488;    13.511
    11.330;    18.479
     9.569;    17.831
    13.151;    15.182
     4.616;     6.797
    12.689;    24.165
    13.095;    17.255
     8.605;    11.600
    10.339;     7.691
    13.243;    16.410
    12.248;    18.520
     9.859;    19.043
    10.958;    19.129
    10.780;    16.240
     6.835;     9.353
     7.790;    16.431
     9.163;    12.266
     7.852;    15.416
     6.607;    16.545
    10.182;    25.800
    16.846;    16.562
     7.797;    12.137
     7.298;     5.427
     7.643;    13.233
    11.146;    21.188
     5.848;     8.950
    10.039;     8.899
     7.174;     9.024
    13.056;    17.830
     8.176;    14.556
    10.481;    10.613
    12.537;    13.667
    12.320;    18.529
     9.116;    14.194
     6.566;     7.724
    12.184;    14.242
     8.910;    16.494
    16.782;    22.183
     8.217;    16.111
     8.800;    16.625
    11.233;    19.252
    11.658;    12.563
     3.919;     2.876
     9.500;    22.074
    10.878;    14.468
    13.422;    14.604
    13.766;    19.898
    14.520;    16.823
     7.446;    23.119
    11.639;    17.474
     8.929;    19.995
    13.419;    16.150
    18.056;    16.610
     7.690;    11.196
    14.914;    12.137
     5.767;     5.559
     4.993;     7.111
    13.399;     9.263
    15.372;    14.459
    12.200;    17.599
     8.742;    17.874
     9.308;     7.720
    10.027;    13.665
     7.781;    16.713
    10.967;    12.283
     2.103;     0.611
     9.351;    12.399
    11.559;    20.386
     8.558;    13.782
    14.498;    26.150
     7.634;    11.230
    11.695;    18.512
    13.324;    17.727
     5.557;     8.694
     5.943;     9.642
    13.999;    17.237
     6.944;    10.786
     7.470;    12.303
     9.950;    13.556
     8.927;    15.336
    10.420;    16.566
    10.763;    22.001
     7.665;    12.690
     7.905;    12.125
     6.759;    14.558
    15.087;    21.658
    12.093;    18.521
    15.276;    12.234
    12.657;    17.067
    10.251;    11.799
    11.803;    23.759
     6.179;    14.471
    10.276;    13.904
    13.296;    19.184
     7.443;     9.614
    18.162;     7.718
     8.540;     7.590
     5.109;     6.071
     4.299;     6.840
    11.321;    17.426
    10.705;    17.448
     9.727;    14.058
    13.744;    23.646
     6.500;     7.154
     7.019;    13.655
     6.861;    12.569
     7.883;    13.289
     9.947;    16.762
    10.669;    19.166
